event_time,coef,lo,hi,Std. Error,Pr(>|t|)
-17,0.0032977660792100063,-0.0037423610972721266,0.010337893255692138,0.0034885243578839844,0.3499033071911093
-16,0.0021049480306343394,-0.004316223002253745,0.008526119063522424,0.0031818191621876867,0.5118698314702872
-15,0.00336966125611054,-0.002301902715892283,0.009041225228113363,0.0028103738139451636,0.23724594244753128
-14,0.00224323025326036,-0.002908686428520531,0.007395146935041251,0.0025528781488805656,0.3845601101645941
-13,0.00021396948423150344,-0.004547869887883557,0.004975808856346564,0.0023595870105083926,0.9281772439722067
-12,0.0029119088450761626,-0.0017495686342935226,0.007573386324445848,0.0023098556777257752,0.2143952322553231
-11,0.0021781403076532977,-0.002804077733774032,0.007160358349080628,0.002468789065610765,0.38265221294410035
-10,0.0025685690901007746,-0.0019865346425746912,0.0071236728227762405,0.002257145350613816,0.2615820954608692
-9,0.0017049976608853937,-0.002371995540309287,0.005781990862080075,0.002020231983423054,0.40347250437139737
-8,0.0022976131176906675,-0.0014558641522155235,0.0060510903875968585,0.0018599233443641551,0.22357463780599174
-7,0.0024970828355000015,-0.0011987373744879203,0.006192903045487924,0.0018313531136159424,0.17998371958785064
-6,0.0024576241744085027,-0.0008837398001619165,0.005798988148978922,0.0016557129326844812,0.1451883112099741
-5,0.001977834674486895,-0.001266016166513726,0.005221685515487516,0.0016073932172668093,0.2253716470966065
-4,-0.0009130261261305709,-0.0034428033871030167,0.0016167511348418751,0.001253555422181059,0.47044149119277323
-3,-0.0003380156851707403,-0.001909174320086246,0.0012331429497447653,0.0007785406471508224,0.6663903968795297
-2,-0.0006654090883693927,-0.0018377798769396636,0.0005069617002008781,0.0005809332629758956,0.2585226325054264
-1,0.0,0.0,0.0,0.0,
0,-0.00012480502880169822,-0.0030651757662211445,0.0028155657086177477,0.0014570127330885247,0.9321452086010049
1,-0.0010571854643803232,-0.00271568881543112,0.0006013178866704735,0.0008218217075822736,0.2053521229638371
2,-0.000979471840632867,-0.0027383225482871124,0.0007793788670213788,0.0008715458374147299,0.2674665215677594
3,-0.0008873639953397787,-0.0031407090972494648,0.0013659811065699072,0.0011165777375428722,0.43124582265584643
4,-0.0012573661476485364,-0.0035045565361769694,0.0009898242408798966,0.001113527953496638,0.26523296481087777
5,-0.0020414386112124643,-0.005016662048342729,0.0009337848259178003,0.0014742829455195396,0.1734568463413002
6,-0.0015196365605600775,-0.0046114845207452316,0.0015722113996250765,0.0015320727381191216,0.3269350015623116
7,-0.0023970651654234964,-0.006102384988159059,0.0013082546573120655,0.001836060362452485,0.19881279737203794
8,-0.0009237243415623356,-0.005223886428184591,0.0033764377450599195,0.00213081664662866,0.6668648576773122
9,-0.0014102678309624466,-0.005616549229683493,0.0027960135677586,0.002084296880966995,0.5023594093745474
10,-0.0018587258440162418,-0.006177467303073402,0.0024600156150409187,0.0021400230986811006,0.390027263349473
11,-0.0010383527282173087,-0.005480534797241523,0.003403829340806906,0.002201190399189627,0.6395658469056449
12,-0.0027813624213864443,-0.0075511344439179815,0.0019884096011450933,0.0023635177980505413,0.2459060684645944
13,-0.004031528873079676,-0.009700104549391483,0.0016370468032321315,0.0028088930534353974,0.15861496046060553
14,-0.002731448387006827,-0.007949486135893337,0.0024865893618796825,0.002585642465118741,0.2968285295651474
15,-0.00312529551061691,-0.008341287697022175,0.0020906966757883554,0.0025846288478413096,0.23335462258406436
16,-0.0033984835274066837,-0.008957677843239054,0.002160710788425686,0.0027546923933101527,0.2241716344514033
17,-0.004067526960487909,-0.010147397021686128,0.002012343100710309,0.003012697678546461,0.1842063139040968
18,-0.004816943293896826,-0.010816267313593446,0.0011823807257997938,0.0029727854978903916,0.11264292288771038
19,-0.005545496386178607,-0.011867086707535916,0.0007760939351787021,0.0031324749203803797,0.08393165344578857
20,-0.005081805428908912,-0.011564786726354602,0.0014011758685367774,0.0032124473892169896,0.1211722379599669
21,-0.005701497964544476,-0.01297860219953258,0.0015756062704436287,0.0036059512480713395,0.12134951740656552
22,-0.0043745191354808595,-0.012079580599525942,0.0033305423285642224,0.00381801264700246,0.2583817604996894
23,-0.006308582868889423,-0.013688327120289105,0.0010711613825102589,0.0036568114368675762,0.091851112893234
24,-0.006075893077903978,-0.01385751045314254,0.0017057242973345854,0.0038559476379825394,0.1225938502236339
25,-0.00444010054672431,-0.012544523303935753,0.003664322210487135,0.004015904185590127,0.275180320822741
26,-0.007198014042762243,-0.01604437213623724,0.0016483440507127538,0.004383548040260317,0.10804700135329726
27,-0.007067883938399139,-0.01675278597441019,0.002617018097611911,0.0047990633989125195,0.14826997185338553
28,-0.007829844670846322,-0.01771692302395167,0.002057233682259024,0.004899245823049231,0.11750153313529599
29,-0.010234361585701386,-0.020738448558120723,0.0002697253867179495,0.005204985981365061,0.05590066599244525
30,-0.008562021355599176,-0.019437674427802625,0.0023136317166042725,0.005389104443598371,0.11961394588200314
