event_time,coef,lo,hi,Std. Error,Pr(>|t|)
-17,-0.0007594339992600881,-0.009205008617059253,0.007686140618539077,0.004184951781686593,0.8568733519218108
-16,-0.00459514624410376,-0.01265811309925106,0.0034678206110435395,0.003995361953823075,0.2566011080982775
-15,-0.0013100515298699242,-0.009175173142516018,0.00655507008277617,0.0038973256641005654,0.7384380540148978
-14,0.0003377258881060681,-0.006805471394459456,0.007480923170671593,0.0035395976647473507,0.9244400793614351
-13,-0.0009688654601226679,-0.00820467107802521,0.006266940157779875,0.0035854869541689246,0.7883154494091018
-12,-0.0041250692750883335,-0.010672535311731414,0.0024223967615547466,0.003244400872124709,0.2105673996702484
-11,-0.0008576324821154392,-0.0071481247294929336,0.005432859765262055,0.00311706520037926,0.7845569666084227
-10,-0.0009382947122244595,-0.007213059307741544,0.005336469883292626,0.0031092718331243844,0.7643142468931372
-9,0.00040044274022240045,-0.005314225905905867,0.006115111386350669,0.002831733045370356,0.8882201211420324
-8,-0.00015630826142607813,-0.005107947338521776,0.004795330815669621,0.002453636574862286,0.9495075709270542
-7,0.005191688179480469,-0.0003198675903876187,0.010703243949348558,0.0027310865373640085,0.06418375395933307
-6,0.003928223043003423,-0.0008416098037482139,0.00869805588975506,0.002363547937672745,0.10395933100866017
-5,0.003840879876816387,-5.368466031681904e-05,0.007735444413949593,0.0019298349178301715,0.0530967000410838
-4,0.00024153277471000579,-0.003146870782040028,0.00362993633146004,0.0016790219900501566,0.8863043710606171
-3,-0.0012072428634128018,-0.003837034762924186,0.0014225490360985822,0.001303114683532697,0.35951637301863815
-2,-0.0023260932663878697,-0.004511917921319896,-0.0001402686114558428,0.0010831200004832872,0.03756312331796541
-1,0.0,0.0,0.0,0.0,
0,0.0012470555257878143,-0.0036660364919517247,0.006160147543527353,0.002434535733056761,0.6111695024172796
1,0.0017523776466673582,-0.001882072393727872,0.0053868276870625885,0.0018009429624773724,0.3361076532336469
2,0.0004671692197219295,-0.003946950328024342,0.004881288767468202,0.0021872848564959144,0.8319048724558118
3,0.00010874229970834806,-0.004106809173825934,0.0043242937732426295,0.002088890389148695,0.9587297312588674
4,0.0019132126785384486,-0.00206013252491227,0.005886557881989167,0.001968872319639765,0.33674811266129945
5,0.002740201747271394,-0.002549575572831551,0.008029979067374338,0.0026211908629443807,0.30181613945984576
6,0.001372377171120778,-0.0035062730679696116,0.006251027410211168,0.0024174691402617083,0.5732666774139232
7,-0.00021709284888996315,-0.005346564571854966,0.00491237887407504,0.002541756221168451,0.9323408496058385
8,0.0026173152646780606,-0.00245434568653622,0.007688976215892341,0.002513109823121244,0.3036180573691887
9,0.0024728667964714745,-0.003448330744290415,0.008394064337233364,0.002934072259062836,0.4041086674940182
10,0.0016486664416506896,-0.0048323612503992815,0.00812969413370066,0.0032114793385216236,0.6103849564416497
11,0.0005962345051277527,-0.0053619055077283855,0.006554374517983892,0.0029523779956654008,0.8409303571473019
12,0.003395438336645795,-0.003480829866125722,0.010271706539417311,0.003407328946676514,0.3247091110138778
13,-0.00045560057335636484,-0.006722976121708167,0.005811774974995438,0.003105610411906917,0.8840688305254378
14,-0.0013185895970712026,-0.007886188549493203,0.005249009355350799,0.0032543771360940043,0.6874059596795472
15,-0.004360659703607221,-0.01101183768083094,0.0022905182736164984,0.003295792220867327,0.19296076408977658
16,0.0029834360277447894,-0.0037185869036350677,0.009685458959124647,0.003320986916446365,0.37411601962443597
17,-0.0015103744311223118,-0.008845499268717397,0.005824750406472774,0.003634701621520516,0.6798599688607299
18,-2.4338676150572675e-05,-0.00675361117695472,0.006704933824653574,0.00333448962517527,0.9942107960093083
19,0.0009449748815089641,-0.005936129828406348,0.007826079591424276,0.003409725533066966,0.78303132149217
20,0.0004432294666285302,-0.007074225214470947,0.007960684147728008,0.0037250497195433813,0.9058535992798564
21,0.004550219682089729,-0.006546504424208395,0.01564694378838785,0.005498649579350768,0.41262201232259277
22,0.004574748906413774,-0.006553215964468187,0.015702713777295735,0.005514130005410926,0.4114324977920929
23,0.009639596745517178,-0.00406273228676912,0.023341925777803474,0.0067897791319101106,0.16306897479513793
24,0.008109813471180557,-0.0055405875871006646,0.02176021452946178,0.006764047778252549,0.23726501174156867
25,0.007873899115699847,-0.00558486210929174,0.021332660340691437,0.006669086393377996,0.24438254409660765
26,0.005399479315278612,-0.007975822164234744,0.01877478079479197,0.006627730413904187,0.4198510918040905
27,0.0017457741643091547,-0.011254609399872814,0.014746157728491124,0.006441951059774085,0.7877178635025102
28,-0.0011990127631012623,-0.016640510419259322,0.014242484893056798,0.007651572101660962,0.8762309604574878
29,-0.0011076051671450905,-0.01769144120130062,0.01547623086701044,0.008217623702248829,0.8934264279851507
30,-0.0005757028751634441,-0.018586641447888515,0.01743523569756163,0.008924781661501152,0.9488733005401657
