fake_date,outcome,coef,se,p,n_obs
2018-06-01,lemp_leisure_hosp,-0.048350442816807955,0.015787136324120828,0.003819504610327984,4429
2018-09-01,lemp_leisure_hosp,-0.05074701455317596,0.015880651568183926,0.0026495959986403417,4300
2018-12-01,lemp_leisure_hosp,-0.053140705820639615,0.01606768965897784,0.00193692393904632,4171
2019-03-01,lemp_leisure_hosp,-0.055356300201468416,0.016331694225610937,0.0015335109764607058,4042
2019-06-01,lemp_leisure_hosp,-0.057660258004712354,0.016692713091689796,0.0012736582404504482,3913
2019-09-01,lemp_leisure_hosp,-0.060100172102629204,0.017079142247257928,0.001056253626166903,3784
2019-12-01,lemp_leisure_hosp,-0.06239601846433015,0.017518493839602828,0.0009324934184253841,3655
2020-03-01,lemp_leisure_hosp,-0.06489157271175083,0.018048672552019668,0.0008451043382005086,3526
2020-06-01,lemp_leisure_hosp,-0.0514475357336834,0.015786663309741315,0.00221958272180256,3397
2020-09-01,lemp_leisure_hosp,-0.02834926842815336,0.012446775332242952,0.02790210369247137,3268
2020-12-01,lemp_leisure_hosp,-0.013736846625821607,0.01017950695194178,0.18441859920926662,3139
2021-03-01,lemp_leisure_hosp,0.005404142309340283,0.008534792850900795,0.5300427396553722,3010
2021-06-01,lemp_leisure_hosp,0.017376451895111004,0.008116559467990857,0.03813441671219553,2881
2021-09-01,lemp_leisure_hosp,0.026293372912284795,0.008225020098515723,0.0026405487731580024,2752
2021-12-01,lemp_leisure_hosp,0.03115480448079304,0.00837568960651052,0.0005855745150502578,2623
2022-03-01,lemp_leisure_hosp,0.035291507574718876,0.008823554283951523,0.0002518064334355863,2494
2022-06-01,lemp_leisure_hosp,0.03787473362950339,0.0092128305419537,0.00017890460439806688,2365
2022-09-01,lemp_leisure_hosp,0.04043870512472309,0.009540358704142209,0.00012047572455053945,2236
2022-12-01,lemp_leisure_hosp,0.04293000200311831,0.009787433009847806,7.591663766048917e-05,2107
2023-03-01,lemp_leisure_hosp,0.04570026625014871,0.010090388473805256,4.8335679567523826e-05,1978
2023-06-01,lemp_leisure_hosp,0.03916704535866333,0.008985075738202593,8.267045976051435e-05,1849
