event_time,coef,lo,hi,Std. Error,Pr(>|t|)
-17,0.004298029307507032,-0.00029699175125996735,0.008893050366274032,0.0022769251870970396,0.06599584535289638
-16,0.002308649567431234,-0.00200061019452116,0.006617909329383628,0.0021353247274052876,0.2857904561367741
-15,0.0029271490340283075,-0.0011840697019302807,0.007038367769986896,0.0020371914230315237,0.1581672689302458
-14,0.002601327698713735,-0.0011406000951211196,0.0063432554925485895,0.0018542003470964,0.16798495938021873
-13,0.002318550132594257,-0.0012861310891076985,0.005923231354296213,0.0017861919151576828,0.2013566056894327
-12,0.0021638827335656564,-0.0014389961727187548,0.0057667616398500675,0.0017852988316838932,0.23226543921491527
-11,0.002487201012853892,-0.0008449774595039221,0.005819379485211706,0.0016511613319243254,0.13946625694574277
-10,0.002286687747533918,-0.0010877319796892024,0.005661107474757038,0.0016720927217715811,0.17872368606796618
-9,0.0022965519139434214,-0.0008378466156608267,0.0054309504435476694,0.0015531573995377689,0.1466993307817277
-8,0.0025788624329004133,-0.0002239190506032416,0.005381643916404068,0.0013888344954464933,0.07035461983177593
-7,0.0037584988292987537,0.001418286398471582,0.006098711260125926,0.0011596222430235803,0.0023330037123654446
-6,0.004466450894045145,0.001989622039120661,0.006943279748969628,0.0012273184239594236,0.0007429927368871603
-5,0.0032081511131951787,0.0012447024420446664,0.0051715997843456915,0.000972928235962086,0.001991737220713663
-4,0.0022017499721352115,0.0002914937217673283,0.004112006222503095,0.000946570323540433,0.024917315262929174
-3,0.0001770363160911341,-0.0009793623961251285,0.0013334350283073968,0.0005730187784772246,0.7588841176229892
-2,0.00025855128405511557,-0.000530851522145001,0.0010479540902552321,0.0003911649390099716,0.5122362675706935
-1,0.0,0.0,0.0,0.0,
0,0.00240349987627511,0.00010336254412778153,0.004703637208422439,0.00113976422705531,0.040969002046931546
1,0.0019214508912201802,1.0232315124142268e-06,0.0038418785509279465,0.0009516104610758347,0.04988351755168208
2,0.0021224996499071384,0.0003495307769690217,0.003895468522845255,0.0008785416717578855,0.02012222780994133
3,0.0010462081568976846,-0.0007378984633038988,0.002830314777099268,0.0008840606491352195,0.24330099911598735
4,0.0012600136097703774,-0.0010232158225919495,0.003543243042132704,0.001131386023258413,0.2717452131157738
5,0.0020424200683141647,-4.633401469358303e-05,0.004131174151321913,0.0010350195832461106,0.05506361439241303
6,0.0019743545727353815,-0.00019897179659375975,0.004147680942064523,0.0010769268490437639,0.07384827050427112
7,0.0005710037040934766,-0.00159289665554023,0.0027349040637271835,0.0010722560719972894,0.5971683814492779
8,0.002230203474481666,-0.00032300808981858536,0.004783415038781917,0.0012651675899615195,0.08521442309967053
9,0.0019497162013441304,-0.000884905480515803,0.004784337883204063,0.0014046119529754976,0.17243176396188065
10,0.001996891909386892,-0.0009360895748223115,0.004929873393596095,0.0014533512097716426,0.17673317937754018
11,0.002212056842947955,-0.0008437904341428394,0.005267904120038749,0.0015142336768739393,0.15149988927836855
12,0.0026353295920237816,-0.0010222836895963775,0.006292942873643941,0.0018124208135438477,0.15336816599772973
13,0.0011264762825934113,-0.0024441176126851105,0.0046970701778719336,0.0017693009605566736,0.5277891730253168
14,0.001346876924926504,-0.0024063782776235446,0.005100132127476552,0.0018598133055308253,0.47295788560094665
15,0.0006204025673553015,-0.003021683111941058,0.004262488246651661,0.0018047265748506798,0.7327377984429306
16,0.0010888086973278126,-0.002689688369770388,0.004867305764426013,0.001872321156185682,0.5639923748863604
17,0.0006248066043535879,-0.0032601264879308115,0.004509739696637987,0.0019250623435407583,0.747121876652888
18,0.0004111022064276601,-0.00367349000572314,0.00449569441857846,0.002023997445914244,0.8400267748362222
19,-0.0002472418476823591,-0.004410687812124603,0.003916204116759885,0.0020630710632912395,0.9051800210285177
20,0.00025376683548575306,-0.0040107387164261925,0.004518272387397699,0.0021131481178171103,0.9049849087335811
21,0.000410990649661425,-0.004304176825035542,0.005126158124358393,0.0023364601483239177,0.8612154412431874
22,2.5484805304444286e-05,-0.004776460379899879,0.004827429990508766,0.0023794602460831715,0.9915052698880298
23,0.0005396360997080207,-0.004750090835976789,0.005829363035392831,0.002621165896453646,0.8378821849511557
24,0.0008740375338401878,-0.004229849118947442,0.005977924186627817,0.0025290783052339073,0.731371952655675
25,0.0003117425025333608,-0.005000025640557112,0.005623510645623833,0.0026320877572360317,0.9062842846026649
26,-0.0005687280145530556,-0.006047560657970917,0.004910104628864805,0.0027148715712382436,0.8350815685136721
27,-0.0009859208858665539,-0.006426647208270546,0.004454805436537438,0.0026959891241298585,0.7164250761722712
28,-0.0022669806444147217,-0.008066374653795573,0.003532413364966129,0.0028737161638606804,0.43462015061714165
29,-0.0018962953991852462,-0.007768417151854116,0.003975826353483623,0.002909754220786942,0.5181433355504326
30,-0.0016503336644319345,-0.007557677230164076,0.004257009901300207,0.002927207336294645,0.5758944779652932
