fake_date,outcome,coef,se,p,n_obs
2018-06-01,lemp_retail,-0.02568031757995509,0.011591218860828227,0.03220136639487281,4429
2018-09-01,lemp_retail,-0.02669535226880076,0.01139729860942698,0.02398265341881589,4300
2018-12-01,lemp_retail,-0.028047698632441925,0.011250843843040245,0.016696259931397783,4171
2019-03-01,lemp_retail,-0.02949618139163077,0.01114543540158696,0.01139932976875535,4042
2019-06-01,lemp_retail,-0.0307789034619883,0.01108710245171603,0.008181884225919145,3913
2019-09-01,lemp_retail,-0.03201489277451194,0.011091066085679899,0.0061277239914869774,3784
2019-12-01,lemp_retail,-0.03324772237787318,0.011136135523163698,0.004705569078557792,3655
2020-03-01,lemp_retail,-0.03461791053139513,0.011265810546865271,0.003714958264031898,3526
2020-06-01,lemp_retail,-0.029012816684182915,0.010281372970576262,0.007263051066829007,3397
2020-09-01,lemp_retail,-0.02289381422558529,0.00936270161905251,0.018750941365163643,3268
2020-12-01,lemp_retail,-0.018863057655111575,0.008493898464861004,0.0318144568644696,3139
2021-03-01,lemp_retail,-0.015737313599630896,0.007748487998287986,0.04861425037537881,3010
2021-06-01,lemp_retail,-0.01332033329626785,0.007104634255009601,0.06777423072401234,2881
2021-09-01,lemp_retail,-0.010983397088861117,0.006553915908050931,0.1011971569562311,2752
2021-12-01,lemp_retail,-0.00840821825458028,0.0059796047899294364,0.167035432794707,2623
2022-03-01,lemp_retail,-0.005684963929606915,0.005340653746676905,0.29319769457151423,2494
2022-06-01,lemp_retail,-0.0033033854809983968,0.004789511681028147,0.4941685190425704,2365
2022-09-01,lemp_retail,-0.0012634619623198718,0.0043417387318917654,0.7724807776359428,2236
2022-12-01,lemp_retail,0.0006656027124248303,0.0039083341709746635,0.8655892525209272,2107
2023-03-01,lemp_retail,0.0027201589951304428,0.0036224400229185683,0.45688826157753604,1978
2023-06-01,lemp_retail,0.0006538909410355754,0.0034996192780340054,0.852680786977766,1849
