outcome,fe,did_coef,did_se,did_ci_lo,did_ci_hi,did_p,pct_effect,n_pre_coefs,n_pre_sig_5pct,max_abs_t_pre,max_abs_pre_effect_logpts,joint_pretrend_stat,joint_pretrend_p,n_terms
lemp_retail,twoway,-0.005568044326657365,0.0033374863326583785,-0.01230336442800187,0.0011672757746871423,0.1026888883309085,-0.555257149896259,16,0,1.48432987741652,0.00336966125611054,71.5427278765937,5.348183543148024e-09,16
lemp_retail,division x month,-0.0019080217292409603,0.004034785549918079,-0.010050548622326893,0.006234505163844972,0.6387379639299509,-0.1906202612936415,16,0,1.48432987741652,0.00336966125611054,71.5427278765937,5.348183543148024e-09,16
lemp_leisure_hosp,twoway,0.0020266251205263014,0.003739875077867012,-0.0055207483449438224,0.009573998585996425,0.5907533570107546,0.20286801132146595,16,1,2.147585923397194,0.005191688179480469,105.75272325927446,2.8627661642729807e-15,16
lemp_leisure_hosp,division x month,0.003853227444052781,0.005353874166710497,-0.00695132805097802,0.014657782939083583,0.47569072425285763,0.3860660669156456,16,1,2.147585923397194,0.005191688179480469,105.75272325927446,2.8627661642729807e-15,16
lemp_total_nonfarm,twoway,-0.0016931525121313925,0.0023960373775566853,-0.006528551703047629,0.003142246678784844,0.48368803397998894,-0.16917199380529238,16,4,3.639194855102094,0.004466450894045145,82.40633143490749,6.112416546686704e-11,16
lemp_total_nonfarm,division x month,0.00013221095867684874,0.0026187821583631915,-0.005152705398783303,0.005417127316137,0.9599747129229552,0.01322196989308274,16,4,3.639194855102094,0.004466450894045145,82.40633143490749,6.112416546686704e-11,16
